Freq.	V(p15v_pri)/V(inj)
1.49279440957898e+00	(6.69230061461687e+01dB,1.00510460351448e+02°)
1.49623565609442e+00	(6.69040758675409e+01dB,1.00490218464365e+02°)
1.49968483550236e+00	(6.68851435656123e+01dB,1.00470011313052e+02°)
1.50314196609001e+00	(6.68662092435851e+01dB,1.00449838804469e+02°)
1.50660706618673e+00	(6.68472729046173e+01dB,1.00429700845913e+02°)
1.51008015416413e+00	(6.68283345518226e+01dB,1.00409597345016e+02°)
1.51356124843619e+00	(6.68093941882711e+01dB,1.00389528209745e+02°)
1.51705036745932e+00	(6.67904518169901e+01dB,1.00369493348406e+02°)
1.52054752973248e+00	(6.67715074409634e+01dB,1.00349492669641e+02°)
1.52405275379728e+00	(6.67525610631329e+01dB,1.00329526082431e+02°)
1.52756605823806e+00	(6.67336126863984e+01dB,1.00309593496096e+02°)
1.53108746168201e+00	(6.67146623136179e+01dB,1.00289694820294e+02°)
1.53461698279928e+00	(6.66957099476084e+01dB,1.00269829965024e+02°)
1.53815464030302e+00	(6.66767555911460e+01dB,1.00249998840624e+02°)
1.54170045294954e+00	(6.66577992469664e+01dB,1.00230201357775e+02°)
1.54525443953840e+00	(6.66388409177655e+01dB,1.00210437427496e+02°)
1.54881661891247e+00	(6.66198806061993e+01dB,1.00190706961152e+02°)
1.55238700995807e+00	(6.66009183148848e+01dB,1.00171009870445e+02°)
1.55596563160506e+00	(6.65819540464004e+01dB,1.00151346067424e+02°)
1.55955250282694e+00	(6.65629878032858e+01dB,1.00131715464479e+02°)
1.56314764264094e+00	(6.65440195880429e+01dB,1.00112117974342e+02°)
1.56675107010813e+00	(6.65250494031360e+01dB,1.00092553510091e+02°)
1.57036280433354e+00	(6.65060772509923e+01dB,1.00073021985147e+02°)
1.57398286446620e+00	(6.64871031340021e+01dB,1.00053523313274e+02°)
1.57761126969933e+00	(6.64681270545194e+01dB,1.00034057408583e+02°)
1.58124803927037e+00	(6.64491490148624e+01dB,1.00014624185527e+02°)
1.58489319246110e+00	(6.64301690173135e+01dB,9.99952235589069e+01°)
1.58854674859776e+00	(6.64111870641201e+01dB,9.99758554438669e+01°)
1.59220872705115e+00	(6.63922031574948e+01dB,9.99565197558975e+01°)
1.59587914723672e+00	(6.63732172996157e+01dB,9.99372164108349e+01°)
1.59955802861465e+00	(6.63542294926273e+01dB,9.99179453248608e+01°)
1.60324539069002e+00	(6.63352397386403e+01dB,9.98987064145034e+01°)
1.60694125301286e+00	(6.63162480397321e+01dB,9.98794995966368e+01°)
1.61064563517825e+00	(6.62972543979475e+01dB,9.98603247884816e+01°)
1.61435855682647e+00	(6.62782588152992e+01dB,9.98411819076044e+01°)
1.61808003764305e+00	(6.62592612937674e+01dB,9.98220708719189e+01°)
1.62181009735891e+00	(6.62402618353011e+01dB,9.98029915996847e+01°)
1.62554875575047e+00	(6.62212604418181e+01dB,9.97839440095084e+01°)
1.62929603263970e+00	(6.62022571152052e+01dB,9.97649280203431e+01°)
1.63305194789432e+00	(6.61832518573190e+01dB,9.97459435514884e+01°)
1.63681652142779e+00	(6.61642446699861e+01dB,9.97269905225906e+01°)
1.64058977319952e+00	(6.61452355550034e+01dB,9.97080688536426e+01°)
1.64437172321491e+00	(6.61262245141387e+01dB,9.96891784649837e+01°)
1.64816239152549e+00	(6.61072115491308e+01dB,9.96703192772998e+01°)
1.65196179822900e+00	(6.60881966616903e+01dB,9.96514912116230e+01°)
1.65576996346951e+00	(6.60691798534996e+01dB,9.96326941893318e+01°)
1.65958690743754e+00	(6.60501611262135e+01dB,9.96139281321506e+01°)
1.66341265037015e+00	(6.60311404814596e+01dB,9.95951929621500e+01°)
1.66724721255104e+00	(6.60121179208384e+01dB,9.95764886017465e+01°)
1.67109061431069e+00	(6.59930934459242e+01dB,9.95578149737020e+01°)
1.67494287602642e+00	(6.59740670582649e+01dB,9.95391720011239e+01°)
1.67880401812254e+00	(6.59550387593830e+01dB,9.95205596074650e+01°)
1.68267406107045e+00	(6.59360085507753e+01dB,9.95019777165230e+01°)
1.68655302538872e+00	(6.59169764339139e+01dB,9.94834262524403e+01°)
1.69044093164324e+00	(6.58979424102463e+01dB,9.94649051397038e+01°)
