Freq.	Ix(x4:e)/Ix(x4:a)
1.77827941003890e+00	(6.62772796518016e+00dB,-1.79991366443150e+02°)
1.78237876744807e+00	(6.62772813276369e+00dB,-1.79991402297478e+02°)
1.78648757485203e+00	(6.62772829957958e+00dB,-1.79991438106424e+02°)
1.79060585403527e+00	(6.62772846563136e+00dB,-1.79991473870177e+02°)
1.79473362683250e+00	(6.62772863092255e+00dB,-1.79991509588924e+02°)
1.79887091512876e+00	(6.62772879545664e+00dB,-1.79991545262854e+02°)
1.80301774085954e+00	(6.62772895923711e+00dB,-1.79991580892154e+02°)
1.80717412601090e+00	(6.62772912226743e+00dB,-1.79991616477012e+02°)
1.81134009261958e+00	(6.62772928455105e+00dB,-1.79991652017615e+02°)
1.81551566277311e+00	(6.62772944609140e+00dB,-1.79991687514150e+02°)
1.81970085860996e+00	(6.62772960689190e+00dB,-1.79991722966805e+02°)
1.82389570231961e+00	(6.62772976695595e+00dB,-1.79991758375766e+02°)
1.82810021614272e+00	(6.62772992628694e+00dB,-1.79991793741219e+02°)
1.83231442237119e+00	(6.62773008488823e+00dB,-1.79991829063350e+02°)
1.83653834334832e+00	(6.62773024276319e+00dB,-1.79991864342347e+02°)
1.84077200146893e+00	(6.62773039991516e+00dB,-1.79991899578393e+02°)
1.84501541917945e+00	(6.62773055634746e+00dB,-1.79991934771676e+02°)
1.84926861897805e+00	(6.62773071206340e+00dB,-1.79991969922380e+02°)
1.85353162341478e+00	(6.62773086706627e+00dB,-1.79992005030690e+02°)
1.85780445509167e+00	(6.62773102135937e+00dB,-1.79992040096791e+02°)
1.86208713666284e+00	(6.62773117494593e+00dB,-1.79992075120869e+02°)
1.86637969083464e+00	(6.62773132782924e+00dB,-1.79992110103107e+02°)
1.87068214036577e+00	(6.62773148001250e+00dB,-1.79992145043690e+02°)
1.87499450806739e+00	(6.62773163149896e+00dB,-1.79992179942801e+02°)
1.87931681680324e+00	(6.62773178229180e+00dB,-1.79992214800626e+02°)
1.88364908948977e+00	(6.62773193239423e+00dB,-1.79992249617346e+02°)
1.88799134909627e+00	(6.62773208180942e+00dB,-1.79992284393147e+02°)
1.89234361864495e+00	(6.62773223054053e+00dB,-1.79992319128210e+02°)
1.89670592121112e+00	(6.62773237859070e+00dB,-1.79992353822719e+02°)
1.90107827992327e+00	(6.62773252596308e+00dB,-1.79992388476857e+02°)
1.90546071796322e+00	(6.62773267266078e+00dB,-1.79992423090807e+02°)
1.90985325856621e+00	(6.62773281868690e+00dB,-1.79992457664750e+02°)
1.91425592502106e+00	(6.62773296404453e+00dB,-1.79992492198869e+02°)
1.91866874067026e+00	(6.62773310873676e+00dB,-1.79992526693346e+02°)
1.92309172891013e+00	(6.62773325276664e+00dB,-1.79992561148362e+02°)
1.92752491319091e+00	(6.62773339613722e+00dB,-1.79992595564100e+02°)
1.93196831701689e+00	(6.62773353885154e+00dB,-1.79992629940740e+02°)
1.93642196394658e+00	(6.62773368091261e+00dB,-1.79992664278465e+02°)
1.94088587759275e+00	(6.62773382232344e+00dB,-1.79992698577454e+02°)
1.94536008162263e+00	(6.62773396308703e+00dB,-1.79992732837889e+02°)
1.94984459975802e+00	(6.62773410320635e+00dB,-1.79992767059949e+02°)
1.95433945577536e+00	(6.62773424268438e+00dB,-1.79992801243817e+02°)
1.95884467350596e+00	(6.62773438152405e+00dB,-1.79992835389671e+02°)
1.96336027683602e+00	(6.62773451972831e+00dB,-1.79992869497692e+02°)
1.96788628970681e+00	(6.62773465730009e+00dB,-1.79992903568059e+02°)
1.97242273611482e+00	(6.62773479424230e+00dB,-1.79992937600953e+02°)
1.97696964011183e+00	(6.62773493055783e+00dB,-1.79992971596552e+02°)
1.98152702580507e+00	(6.62773506624956e+00dB,-1.79993005555036e+02°)
1.98609491735734e+00	(6.62773520132039e+00dB,-1.79993039476584e+02°)
