Freq.	V(out)/V(inj)
2.23357222283049e+00	(9.78421398160032e+01dB,3.02482871966617e+01°)
2.23872113856830e+00	(9.78046511783927e+01dB,3.02403398309054e+01°)
2.24388192378272e+00	(9.77671601850032e+01dB,3.02325276975817e+01°)
2.24905460583574e+00	(9.77296668791720e+01dB,3.02248508080532e+01°)
2.25423921215239e+00	(9.76921713042227e+01dB,3.02173091734442e+01°)
2.25943577022093e+00	(9.76546735034658e+01dB,3.02099028046468e+01°)
2.26464430759302e+00	(9.76171735201984e+01dB,3.02026317123189e+01°)
2.26986485188378e+00	(9.75796713977050e+01dB,3.01954959068856e+01°)
2.27509743077203e+00	(9.75421671792575e+01dB,3.01884953985427e+01°)
2.28034207200037e+00	(9.75046609081154e+01dB,3.01816301972551e+01°)
2.28559880337539e+00	(9.74671526275260e+01dB,3.01749003127591e+01°)
2.29086765276773e+00	(9.74296423807255e+01dB,3.01683057545638e+01°)
2.29614864811232e+00	(9.73921302109377e+01dB,3.01618465319514e+01°)
2.30144181740846e+00	(9.73546161613762e+01dB,3.01555226539804e+01°)
2.30674718872002e+00	(9.73171002752426e+01dB,3.01493341294820e+01°)
2.31206479017555e+00	(9.72795825957287e+01dB,3.01432809670665e+01°)
2.31739464996843e+00	(9.72420631660155e+01dB,3.01373631751215e+01°)
