Freq.	V(p15v_pri)/V(inj)
1.45545908058195e+00	(6.79997212509249e+01dB,1.00735198258271e+02°)
1.45881426027534e+00	(6.79808134561460e+01dB,1.00714567494515e+02°)
1.46217717445671e+00	(6.79619035998166e+01dB,1.00693972510482e+02°)
1.46554784095590e+00	(6.79429916856544e+01dB,1.00673413209491e+02°)
1.46892627764385e+00	(6.79240777173282e+01dB,1.00652889495189e+02°)
1.47231250243271e+00	(6.79051616984584e+01dB,1.00632401271550e+02°)
1.47570653327588e+00	(6.78862436326172e+01dB,1.00611948442877e+02°)
1.47910838816819e+00	(6.78673235233292e+01dB,1.00591530913802e+02°)
1.48251808514594e+00	(6.78484013740718e+01dB,1.00571148589286e+02°)
1.48593564228699e+00	(6.78294771882755e+01dB,1.00550801374620e+02°)
1.48936107771090e+00	(6.78105509693243e+01dB,1.00530489175429e+02°)
1.49279440957898e+00	(6.77916227205561e+01dB,1.00510211897668e+02°)
1.49623565609442e+00	(6.77726924452634e+01dB,1.00489969447626e+02°)
1.49968483550236e+00	(6.77537601466932e+01dB,1.00469761731926e+02°)
1.50314196609001e+00	(6.77348258280478e+01dB,1.00449588657524e+02°)
1.50660706618673e+00	(6.77158894924849e+01dB,1.00429450131711e+02°)
1.51008015416413e+00	(6.76969511431185e+01dB,1.00409346062117e+02°)
1.51356124843619e+00	(6.76780107830185e+01dB,1.00389276356704e+02°)
1.51705036745932e+00	(6.76590684152120e+01dB,1.00369240923774e+02°)
1.52054752973248e+00	(6.76401240426830e+01dB,1.00349239671964e+02°)
1.52405275379728e+00	(6.76211776683733e+01dB,1.00329272510252e+02°)
1.52756605823806e+00	(6.76022292951826e+01dB,1.00309339347953e+02°)
1.53108746168201e+00	(6.75832789259689e+01dB,1.00289440094721e+02°)
1.53461698279928e+00	(6.75643265635491e+01dB,1.00269574660551e+02°)
1.53815464030302e+00	(6.75453722106993e+01dB,1.00249742955777e+02°)
1.54170045294954e+00	(6.75264158701552e+01dB,1.00229944891074e+02°)
1.54525443953840e+00	(6.75074575446125e+01dB,1.00210180377461e+02°)
1.54881661891247e+00	(6.74884972367274e+01dB,1.00190449326293e+02°)
1.55238700995807e+00	(6.74695349491167e+01dB,1.00170751649273e+02°)
1.55596563160506e+00	(6.74505706843587e+01dB,1.00151087258442e+02°)
1.55955250282694e+00	(6.74316044449931e+01dB,1.00131456066188e+02°)
1.56314764264094e+00	(6.74126362335217e+01dB,1.00111857985238e+02°)
1.56675107010813e+00	(6.73936660524088e+01dB,1.00092292928665e+02°)
1.57036280433354e+00	(6.73746939040816e+01dB,1.00072760809886e+02°)
1.57398286446620e+00	(6.73557197909302e+01dB,1.00053261542662e+02°)
1.57761126969933e+00	(6.73367437153087e+01dB,1.00033795041098e+02°)
1.58124803927037e+00	(6.73177656795351e+01dB,1.00014361219645e+02°)
1.58489319246110e+00	(6.72987856858918e+01dB,9.99949599930974e+01°)
1.58854674859776e+00	(6.72798037366262e+01dB,9.99755912765959e+01°)
1.59220872705115e+00	(6.72608198339507e+01dB,9.99562549856265e+01°)
1.59587914723672e+00	(6.72418339800435e+01dB,9.99369510360213e+01°)
1.59955802861465e+00	(6.72228461770490e+01dB,9.99176793439576e+01°)
1.60324539069002e+00	(6.72038564270776e+01dB,9.98984398259593e+01°)
1.60694125301286e+00	(6.71848647322069e+01dB,9.98792323988962e+01°)
1.61064563517825e+00	(6.71658710944816e+01dB,9.98600569799844e+01°)
1.61435855682647e+00	(6.71468755159142e+01dB,9.98409134867864e+01°)
1.61808003764305e+00	(6.71278779984850e+01dB,9.98218018372113e+01°)
1.62181009735891e+00	(6.71088785441428e+01dB,9.98027219495145e+01°)
1.62554875575047e+00	(6.70898771548054e+01dB,9.97836737422983e+01°)
1.62929603263970e+00	(6.70708738323595e+01dB,9.97646571345113e+01°)
1.63305194789432e+00	(6.70518685786616e+01dB,9.97456720454487e+01°)
1.63681652142779e+00	(6.70328613955382e+01dB,9.97267183947526e+01°)
1.64058977319952e+00	(6.70138522847863e+01dB,9.97077961024114e+01°)
1.64437172321491e+00	(6.69948412481733e+01dB,9.96889050887602e+01°)
1.64816239152549e+00	(6.69758282874383e+01dB,9.96700452744801e+01°)
1.65196179822900e+00	(6.69568134042915e+01dB,9.96512165805992e+01°)
1.65576996346951e+00	(6.69377966004155e+01dB,9.96324189284914e+01°)
1.65958690743754e+00	(6.69187778774648e+01dB,9.96136522398768e+01°)
1.66341265037015e+00	(6.68997572370669e+01dB,9.95949164368216e+01°)
